Day,Mean_Area_um2,Std_Dev_um2,Sample_Count,Std_Error_um2,CI_95_Margin_um2,CI_95_Lower_um2,CI_95_Upper_um2
1,84.95524691358025,9.413109658834994,3,5.434661395439851,10.651936335062107,74.30331057851815,95.60718324864236
2,126.69012345679012,18.64684442246698,3,10.765760646848383,21.10089086782283,105.58923258896729,147.79101432461295
3,246.10721450617282,35.35632558223468,3,20.412984092459244,40.00944882122012,206.09776568495272,286.1166633273929
4,502.0016975308642,32.640346484012554,3,18.844912828987304,36.936029144815116,465.0656683860491,538.9377266756793
5,968.9622299382714,122.2409651586449,3,70.5758541403433,138.32867411507286,830.6335558231985,1107.2909040533443
6,1484.3971064814816,130.0252579487904,3,75.07011767818466,147.13743064924194,1337.2596758322397,1631.5345371307235
7,2216.716749338624,278.36307128486595,3,160.71299413876835,314.99746851198597,1901.7192808266382,2531.71421785061
8,2690.494405864198,213.58742104963738,3,123.31475503852609,241.69691987551113,2448.797485988687,2932.191325739709
9,2231.6284336419753,240.5318827706968,3,138.8711472663493,272.18744864204467,1959.4409849999306,2503.81588228402
10,3355.212037037037,150.89998770078813,3,87.12214851976124,170.75941109873202,3184.452625938305,3525.971448135769
11,3391.6234182098765,135.25591146227876,3,78.09003689223483,153.0564723087803,3238.566945901096,3544.679890518657
12,4098.231018518519,47.01029359027417,3,27.141405659028134,53.197155091695144,4045.0338634268237,4151.428173610214
13,2589.6056712962964,318.70778336260776,3,184.00602451723054,360.65180805377184,2228.9538632425247,2950.257479350068
14,3359.661149691358,219.36039776039598,3,126.647784696508,248.22965800515567,3111.431491686202,3607.8908076965135
